movie,network_trace,algorithm,buffer size,total played utility,time average played utility,total played bitrate,time average played bitrate,total play time,total play time chunks,total rebuffer,rebuffer ratio,time average rebuffer,total rebuffer events,time average rebuffer events,total bitrate change,time average bitrate change,total log bitrate change,time average log bitrate change,time average score,over estimate count,over estimate,leq estimate count,leq estimate,estimate,rampup time,total reaction time,qoe
../data/bbb.json,../data/hd_fs/trace0375.json,ABR_A2C.py,25000.0,645.764217,2.806511,1188230.0,5164.084673,690.284963,230.094988,92.854612,0.134516,0.403549,18.0,0.078229,5770.0,25.0766,3.261435,0.014174,2.13393,27.0,5479.355772,171.0,10674.724836,-8471.895662,8.135833,0.0,515.7777281928096
../data/bbb.json,../data/hd_fs/trace0998.json,ABR_A2C.py,25000.0,645.764217,2.690462,1188230.0,4950.548797,720.059562,240.019854,122.350324,0.169917,0.509751,14.0,0.058329,5770.0,24.039678,3.261435,0.013588,1.840877,9.0,8029.068028,189.0,6069.272006,-5428.438368,13.486032,5.0,494.44905725242864
../data/bbb.json,../data/hd_fs/trace0007.json,ABR_A2C.py,25000.0,645.764217,2.645198,1188230.0,4867.261787,732.380989,244.126996,134.516032,0.183669,0.551008,11.0,0.045059,5770.0,23.635239,3.261435,0.01336,1.726851,15.0,7123.346602,183.0,12086.783591,-10631.470698,17.338796,20.0,486.13007626823816
../data/bbb.json,../data/hd_fs/trace0258.json,ABR_A2C.py,25000.0,645.764217,2.813766,1188230.0,5177.432718,688.505326,229.501775,91.093997,0.132307,0.396921,22.0,0.09586,5770.0,25.141418,3.261435,0.014211,2.152231,38.0,1646.039792,160.0,3908.562825,-2842.527979,7.705582,0.0,517.1109750510001
../data/bbb.json,../data/hd_fs/trace0016.json,ABR_A2C.py,25000.0,645.764217,2.667788,1188230.0,4908.828617,726.179355,242.059785,128.5166,0.176976,0.530929,14.0,0.057837,5770.0,23.837086,3.261435,0.013474,1.782906,45.0,1808.172688,153.0,7432.704614,-5332.505228,13.583586,0.0,490.28190336566666
../data/bbb.json,../data/hd_fs/trace0797.json,ABR_A2C.py,25000.0,645.764217,2.757787,1188230.0,5074.429516,702.480937,234.160312,104.848387,0.149254,0.447763,18.0,0.07687,5770.0,24.641238,3.261435,0.013928,2.011515,38.0,2452.209223,160.0,7419.728729,-5525.114375,10.503896,0.0,506.82267756252384
../data/bbb.json,../data/hd_fs/trace0438.json,ABR_A2C.py,25000.0,645.764217,2.668216,1188230.0,4909.616123,726.062876,242.020959,128.328645,0.176746,0.530238,14.0,0.057846,5770.0,23.84091,3.261435,0.013476,1.784487,31.0,2271.165846,167.0,4865.381105,-3748.042946,12.731247,5.0,490.3605649137143
../data/bbb.json,../data/hd_fs/trace0422.json,ABR_A2C.py,25000.0,645.764217,2.724008,1188230.0,5012.275525,711.191949,237.063983,113.081715,0.159003,0.477009,18.0,0.075929,5770.0,24.339421,3.261435,0.013758,1.928993,39.0,5054.559771,159.0,8674.278824,-5970.113646,13.723577,8.723577,500.6145467468572
../data/bbb.json,../data/hd_fs/trace0710.json,ABR_A2C.py,25000.0,645.764217,2.806184,1188230.0,5163.481579,690.365589,230.121863,92.925314,0.134603,0.403809,18.0,0.078219,5770.0,25.073672,3.261435,0.014173,2.133168,39.0,3398.193804,159.0,7765.033679,-5566.216145,8.179348,0.0,515.7174895290001
../data/bbb.json,../data/hd_fs/trace0979.json,ABR_A2C.py,25000.0,645.764217,2.786477,1188230.0,5127.221246,695.247938,231.749313,97.680464,0.140497,0.421492,19.0,0.081985,5770.0,24.897593,3.261435,0.014073,2.083991,45.0,4542.308887,153.0,20424.860612,-14750.503908,11.860473,1.860473,512.0956906365238
../data/bbb.json,../data/hd_fs/trace0033.json,ABR_A2C.py,25000.0,645.764217,2.758475,1188230.0,5075.695189,702.305766,234.101922,103.911565,0.147958,0.443873,18.0,0.07689,5770.0,24.647384,3.261435,0.013932,2.018686,26.0,6329.886064,172.0,15928.838197,-13005.975415,12.513116,7.513116,506.9491280749048
../data/bbb.json,../data/hd_fs/trace0531.json,ABR_A2C.py,25000.0,645.764217,2.724569,1188230.0,5013.306814,711.045649,237.015216,113.184701,0.159181,0.477542,18.0,0.075944,5770.0,24.344429,3.261435,0.01376,1.928665,17.0,6991.456012,181.0,10641.800272,-9127.833824,15.481971,0.481971,500.7175453960476
../data/bbb.json,../data/hd_fs/trace0309.json,ABR_A2C.py,25000.0,645.764217,2.798426,1188230.0,5149.207503,692.279346,230.759782,94.828656,0.13698,0.410941,18.0,0.078003,5770.0,25.004357,3.261435,0.014133,2.113525,31.0,3456.292063,167.0,8482.298195,-6613.124973,8.585872,0.0,514.2917472198096
../data/bbb.json,../data/hd_fs/trace0689.json,ABR_A2C.py,25000.0,645.764217,2.668282,1188230.0,4909.737481,726.044929,242.014976,128.274412,0.176676,0.530027,14.0,0.057848,5770.0,23.8415,3.261435,0.013476,1.784904,24.0,7783.44431,174.0,19254.444012,-15977.124216,15.073453,0.0,490.37268796319046
../data/bbb.json,../data/hd_fs/trace0550.json,ABR_A2C.py,25000.0,645.764217,2.771491,1188230.0,5099.645156,699.007458,233.002486,101.402402,0.145066,0.435199,19.0,0.081544,5770.0,24.763684,3.261435,0.013997,2.046159,24.0,6624.714546,174.0,12748.610938,-10400.329061,9.834028,0.0,509.3412994713809
../data/bbb.json,../data/hd_fs/trace0685.json,ABR_A2C.py,25000.0,645.764217,2.63401,1188230.0,4846.674898,735.491873,245.163958,137.382979,0.186791,0.560372,10.0,0.040789,5770.0,23.53527,3.261435,0.013303,1.700057,15.0,7042.147553,183.0,6431.168806,-5410.463022,19.034324,10.0,484.0737978581905
../data/bbb.json,../data/hd_fs/trace0691.json,ABR_A2C.py,25000.0,645.764217,2.659482,1188230.0,4893.545061,728.447364,242.815788,130.603609,0.17929,0.537871,13.0,0.053539,5770.0,23.76287,3.261435,0.013432,1.76303,22.0,4025.51688,176.0,5846.435145,-4749.551587,16.029584,0.0,488.75533738195236
